node:ID,name,:LABEL
h_c56079dd2bab2fa8c2573eeeb6b742fdaf27feaac36bb27a734602f8b7913883,自拟方_crkbygsyxhxqffzlbbf,方剂
h_71bf1e35204b14c12150986e045ba0b541b66f559a905b395aca62168a800791,白驳风,疾病
h_ccba4ca1043e5b8907005538ad3064c5e9a4763eb5727613e5f05f7d5a822c7b,补骨脂,草药
h_2a6482895b3527ad48c432702a1bf4e46a71e948cb65c4b53d24270a72a8b0c7,沙苑子,草药
h_37a0c09be6fe879e6e7bef17df439decd898b4b8ceb63508077f187fd23315ca,菟丝子,草药
h_f9c9f3ec4aff41df0d33bff63dbf65e9719e0d810412b7272bdf6aaa89deb3a1,丹参,草药
h_d9e9e9e5cbd33a71f30d042b994a1597b2d8e25a26c88da1998e117ea741fb84,煅自然铜,草药
h_76fdc362e59b09a63befd8facee687762d9d034e44be02886fd16f9e8000469e,北沙参,草药
h_e6be25002f5052a30019beb5212298724bbf3427c412d9d05280ec4c35a1d822,玉竹,草药
h_278abedf7fe9eea0c318c5eaf56c936e8b722747c6c58fc747e81eeefab5d058,首乌,草药
h_c6623bfd99e721925818f18feb36ba2a6956d8487d410e92f88313cc8cf4bd8d,黑芝麻,草药
h_82fe3b22ade7f3a41b95b1825cc87403876914e49c1a4b4471e24b8d22eaa4fc,浮萍,草药
h_1f7a9217f27940575919e5ba7358d931592631a79e5167802cd1c8600720cac5,刺蒺藜,草药
h_3eb82b2bd9f7c6c1db509cfe0ab9d66b8ef4eccc56ed6cf26634990a9867c49c,生甘草,草药
h_acbb4504bf17a320ac9e74d67d0d6abaf8876a1d6031aba0cd08ea96924f35bc,自拟方_crkbygsxqhxqffzlbdf,方剂
h_86b8c200f1750fce213bee2f8e1ea48cef3af6a53b2a5b7a1e8860fd75ec5734,白癜风,疾病
h_6f9b891bb023543d6e32ca4f727df0b78b5e87bace00db4fd79bdf43ca4adfa4,自拟方_crkxqhxqfbygsfzlbbf,方剂
h_6208fa4cd8795f21b5d23725039656e4bc929891ca216e0c134391d40f6e5df5,女贞子,草药
h_28638dfbf0bfb8c6f6a2f36b4fdb28198d21a363daf43c858944658b7623111b,旱莲草,草药
h_075c1967487855379b6e2da2bafad60305fba6e4ed26a3646c2f4687f8e67317,乌梅,草药
h_948efbd81d6c2a05a182eae95442041edbbd12f6b52cd82c54491ef7a86c9627,苍耳子,草药
h_049a6b72bc0f8161435f2011ded4c51fa2fff47faf993a1e9b50fbc7300498b9,当归,草药
h_c036aedd31a23f98ec35cd4de0a8d2cc6706ee69688ee09f4d197db8f2a801e8,白芍,草药
h_68f43f20a362b172cae41157138cd78bcac3ada2481f9657ef77de5f4156f11b,红花,草药
h_9a4ddae306ace90b5fa259f633bf57fa0a09ff5cac73ebd7982ceaa10be0684c,鸡血藤,草药
h_28ae6634555cc22ce32e8c140d6a667b28c839e696824155c0e76a489e36ce4b,枸杞,草药
h_a39e00a4bb0d1ce7574c680a5b7bc8ae5dc882fd9b070567b74e3a768156ef94,无柄灵芝,草药
h_c274c260deeb4cbedaad6e359aaa936330527ae5a560dc02074aba59ad565325,白芷,草药
h_0e074071ce1ea15470c43b316b95d82a7365564715584a32fd8900268a751da2,自拟方_crkbygsxqhxqffzlbbf,方剂
h_b60d24379e8518058edc9e09dc797cf9594445ca41d00bece4fddcc3f89aa90f,自拟方_crkbygsxqhxjpqffzlbbf,方剂
h_386c838249b6505447dfdfa879c4111cb75c95ef113a0acd1788b3601839923d,生地,草药
h_38ced829d46a1eb3a20bf0b0e9988c9f3ffebf33c056d4c2baf2583f319a7ced,丹皮,草药
h_6cc8e98aaacdcd0a31b0156e1a5d2d4ede3079a8bc456d29705eeb4519ae35b2,赤芍,草药
h_5e0264f47d469f374b17064b05fe535e326a592da29da5b326860eed525dd532,黄精,草药
h_a9b9a41dd596f152eb635912fc784cb1cbae0ea7b4a09cb607a87777d503b807,桂枝,草药
h_90e4e58d454b4a7803af7ed5224d9f6821619fc82112e57e8f1e76f01063b37e,茯苓,草药
h_0cf44f27533dfd42fb66ba21296378d1af03d6889c47174c7213c30495003a09,白术,草药
h_869e6685a3e24cf57af1d51b6346cbbfe127c1990bed5e76c1315388e429bfbf,自拟方_crkbygsxqhxqfyyqrfzlbbf,方剂
h_8718bdbd69504b4e20f059c6bd49170b74555501842147fcbecd0f38647ffd62,方剂_crkbygsfzlbdf,方剂
h_e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,草药
h_42192d260b0ab308629f19d12d03720a37726609bf94d75a9f0d01aff3dac606,白斑汤_crkbygshxyxfzlbdf,方剂
h_8fc23cdcc77c9e694a6c7737bb6dd8686dfc48a211d2ce989c2b674d7a3c723b,首乌藤,草药
h_15ac7c1274ed994e505a4ef600e786519fb64f7cb5aab7019ceca166a73b181c,方剂_crkbygsxqhxfzlbdf,方剂
h_d89852f06790715c0fb6cb135555dd1c9c0c2de1c0cd3b534a47b86d9853feed,川芎,草药
h_49a9abc1f0aa20559f215a44a3575a32121b5f8ef741df70d076698be711b61e,方剂_crkqrlxjdlsfzlsc,方剂
h_9fd4aaa6d00b1d3bba1bb030abe2ebd05f7a00e2fde265844ed6e99e1848ca94,湿疮,疾病
h_f22045ad7273f241c86d42032f2071bd146a68d0c60a73a026aaaf699aa23678,元参,草药
h_a26e3e8c052e909475f1dbe2c8d52de17cb3b483773d6d1bee987a4f49dd5061,银花,草药
h_26da59e4b23057f626c4596d77cb3f91fd4eae046fb93de68825496cc490c7e6,黄苓,草药
h_1ba9cdecb68c694312d137ee499aaebdb291f2de3c6b9fe34dcade0f32f8aa86,泽泻,草药
h_97ae39875948ca362f369e2f0037658320757a213a2ea32427c87c6f6b1d9b52,车前子,草药
h_de69e102276a012d797755dc8d069352d76564f3f079b32432efdd5671cb6bfd,苦参,草药
h_2b307a57ed38fa0e84b3dc7379b91b21f265843388debac13ad51649f3c3698b,方剂_crkqrlsfzlsc,方剂
h_936047e280b1c3ebe4fe2b6a16a2394f17ccecef3fa99371bd18f20faa1ad222,党参,草药
h_46ac240fc490798f27fa05c8fb4284cc6de9e4dab4cc41f26996998e4eb3f9ac,滑石,草药
h_ccde1e8e9f12ca5ce5bc9ec1e50fd416465a26bb5498ddf4176f927c04d8eca9,秦艽,草药
h_f871ca74504ecc9a634c30ed8f2fa1c96fff85ff03b53d8f90f4060a603ee1d4,茅根,草药
h_a9e1b83f26eddcd1ff3db0c55b522bbfebbe71d388918b6bc5c9ab2ef04fcec9,方剂_crkbgyshxhyfzlbdf,方剂
h_445d9ee846088939f858c8872e53ccead6c402c36a5dc46306b2c5865b69e869,方剂_crkbygsxqhxyxfzlbdf,方剂
h_41363269b6afe396dcc5054fb8cbde8a2e62faccc6a866cf311660a78e9d677b,方剂_crkqrlxfzlbb,方剂
h_2208e73e12f6a0976e946d350f4a91d35b06391a32db00940649162afd5019af,白疕,疾病
h_64ed6088eefa13958a849c6b7e8016331ac1e1090be73220283846e10ec604f6,槐花,草药
h_2ab77f9cc90a316b124e34fefc6bf60ec5217a2803f3b2af7f3df3f56e26b5aa,黄芩,草药
h_e9c3049713c7d7b5a4ca7be09d0eb5f349a63ae29efe8475f8bda1c61c44e53d,黄柏,草药
h_2d5faa70816fbe43a37fd7d08d58c96671e69be56aea3c2458671e69d2336363,土茯苓,草药
h_f19c8f46abfffdfb8ae9c7c51613eba5c2097e01d9924b6e2f4be41280cd4efb,稀茜草,草药
h_b0ac89c4b949981df50ef7bf1fb7737b73eb155a296db592ac0db8ebe4b8c9fb,白鲜皮,草药
h_8007c4c74e006fed01a6d8d43c690f8eed5c49e0a01395c8ac11b59391fdf840,大青叶,草药
h_1f05fe0c988950ddb9ba6536c2f24a4fa42d5b3045258ef7c91f0182964880fd,白茅根,草药
h_4496086fac97b8de2bb48d16d012df868427c5aaac2bbebf3cd33d489940b453,方剂_crkbgysfzlbdf,方剂
h_ede9431f6d2e3c73fa857b45635dec0bbf0fca727351c6b4ac393beb5ab59bd1,黄芪,草药
h_70c07d8153abeaa476e6f6353f96a60cfcc8af186275125fb570ebc99545396e,方剂_crkqrlxlszyfzlsz,方剂
h_0c1b88adaec50c5de7fab24844231cc610c1b0d3e25ce94b2bcc2b5823f28714,湿疹,疾病
h_aba6a6fbc4dfd3492cff654e4badeb1538b61b9d1f0db3fd15731f2cdea3bd11,秦九,草药
h_7c55f9c678a3f16f69d83039a177971b0a5d24414cf2a041fd096b7087cce169,白藓皮,草药
h_ba7c0ec448aae7a8cd8b446cba8747149719f73310d22f1bec52065153c784ae,方剂_crkqrlxjdfzlbb,方剂
h_a29665d88338b31f870fbc79e94bdb98f56488578dd829b531eb1a4962090440,郁金,草药
h_620fdd1d42ce3882620d2558828c8951f453282af88e8ba8dea83edbb81d3f92,稀签草,草药
h_57eceb53bcd69a24cca3aa3988ec83bbde5d8ea1dd0dafc1d13cab9a7ca9cd70,方剂_crkbgysqxsbfzlbdf,方剂
h_bb6a5c882ea4c79e3ea40a53d62c5f3c28f0b2371e29aecc90dec775628b10b8,南沙参,草药
h_fb8015789b080938c2c3776f28f2641cd56f41e5c863596b5cd54c809995a629,覆盆子,草药
h_2642c391cb9ff72d94dc5812b4e4b1b660305bd2b603095c1cabd703a9e07186,方剂_crkzbgsbqhxfzlbdf,方剂
h_88ab4f9c86f7627511dd954510c5c0444b85afe4d37a9ef6bfdf90a5ad4b0789,合欢皮,草药
h_b83a68ac77e42268d320fe112aca59e4ce3833709d60b53e1699f9d645082c7b,方剂_crkzbgsfzlbdf,方剂
h_ac5ca1d6df4358286d916de1b1f2613ea7a53dc5e7cb679c3e75175b35c1a2ea,麦冬,草药
h_18a578fb6c3c494032ddb0e252c1bc49cb013c5f66d66d5e79676e0875fcf18d,石斛,草药
h_f090a22027ed2f8b9ba684cbd19e3e08e4bd1b421563455db8fea8952218d871,枸杞子,草药
h_45c24f80e2f49511d8f11f0537ce1ef93affff5556fe5968996f0b39b4a5d4b4,首乌地黄汤加减_crkzbgsyxqffzlbbf,方剂
h_4cf80999c7ff0af59533a52996ab626379e50e37a3b099878a98fea78193ace8,服,草药
h_b3c7040a74c808dfcb3fd084be01ebc1901fdb5472b8197c40783fc8f32616ec,白驳方_crkqftldhqxfzlbbf,方剂
h_6f16e8d1ebe274e07762b91c5a2ed9ab76352859cd0b60cca29b2f8d240c760b,灵芝,草药
h_765ef9231759965b85c7aa051d1fdd918b67ce200e86a8be638549e5096af9b6,首乌地黄汤_crkzbgshxqffzlbbf,方剂
h_a75be31178f3c12c677da7d7c0ba90059cb8eed8d642fd3c7a75f78d913f8703,首乌地黄汤_crkzbgszyqffzlbbf,方剂
h_cb526c66c537e0902bc642f3cc72ed51ca308b6d64a002d047f74cdafa2f5e20,首乌地黄汤_crkbygsdhqxfzlbbf,方剂
h_bd049fa1217a081a31862fd3ba4433709574ad076d7edc80fdea932a8e46e81e,钩藤,草药
h_d2a08b1966117ac93cb33f90f2e54f8ac5b81932fc587d10f602c64c8318c863,灵磁石,草药
h_b2ddd087bd1349e3c6e77d16b5bd1f507fb5494caccdffd92cf54a209a6e7ba7,方剂_crkfzl,方剂
h_ed25d227391142331e90411e41df6802540af019f88c50e9ffc4dc96a2369fcc,方剂_crklxhxqrjdfzlyxb,方剂
h_60dc6dc722d7af01f32ced9d58f37866870baf21a93c8a61fa8a338f8e3cfc2b,银屑病,疾病
h_4e01bc3951cedd48a1342fee260ebfec126e678d88fc8bd96bd67f297cd0c1c6,草河车,草药
h_b2e9a4fc2b7df4bcbc488e12da9f67db277a6960f81f2b4ac4b0b0ff63ec4c3a,白花蛇舌草,草药
h_0f07ff49aa1191346c3cc56d5147a15fc1bd34d864921dfdc250b4e90264db5b,白癣皮,草药
h_455dac85e22f1fd6973678b6de6f220d8d2e3ca6df3a6a97f0cf21fce0235df0,凉血除湿汤加减_crkqrlshyqffzlsc,方剂
h_c281145b1e07cd0ae834dfb260927d026d586308fcaec434d83fbc5ee2cc2dde,白驳汤_crkbgysdhqxfzlbdf,方剂
h_a4f32d0b519c1b236992a2fd950f92241a776ddb74f6904959b9bb9ef6d64ebb,方剂_crkqrlxhxhyfzlyxb,方剂
h_6c54977f0fc5a4f195246f8c21c22a8b344c3a40e9cbd4809dfbc75d5730119e,厚朴,草药
h_36e177145c0eeebafb80308c036bcb55eefc7844420af9aee7c17322afa492a0,陈皮,草药
